time_s,pos_m,setpoint_m,servo_deg
0.057,0.0,0.15,108.0
0.065,0.0,0.15,118.0
0.074,0.0,0.15,125.0
0.082,0.0,0.15,129.0
0.091,0.0,0.15,131.0
0.1,0.0,0.15,132.0
0.109,0.0,0.15,133.0
0.117,0.0,0.15,134.0
0.126,0.0,0.15,134.0
0.135,0.0,0.15,134.0
0.144,0.0,0.15,134.0
0.152,0.0,0.15,134.0
0.161,0.0,0.15,134.0
0.169,0.0,0.15,134.0
0.179,0.0,0.15,134.0
0.188,0.0,0.15,134.0
0.196,0.0,0.15,134.0
0.205,0.0,0.15,134.0
0.213,0.0,0.15,134.0
0.222,0.0,0.15,134.0
0.231,0.0,0.15,134.0
0.24,0.0,0.15,134.0
0.249,0.0,0.15,134.0
0.257,0.0,0.15,134.0
0.266,0.0,0.15,134.0
0.275,0.0,0.15,134.0
0.284,0.0,0.15,134.0
0.293,0.0,0.15,134.0
0.301,0.0,0.15,134.0
0.309,0.0698,0.15,134.0
0.317,0.0698,0.15,98.0
0.326,0.0698,0.15,78.0
0.335,0.0698,0.15,65.0
0.343,0.0698,0.15,86.0
0.352,0.0698,0.15,97.0
0.361,0.0698,0.15,105.0
0.37,0.0698,0.15,109.0
0.379,0.0698,0.15,112.0
0.388,0.0698,0.15,114.0
0.396,0.0698,0.15,115.0
0.405,0.0698,0.15,116.0
0.413,0.0698,0.15,116.0
0.423,0.0698,0.15,116.0
0.431,0.0698,0.15,116.0
0.44,0.0698,0.15,116.0
0.449,0.0698,0.15,117.0
0.458,0.0698,0.15,117.0
0.467,0.0698,0.15,117.0
0.476,0.0698,0.15,117.0
0.484,0.0698,0.15,117.0
0.493,0.0698,0.15,117.0
0.502,0.0698,0.15,117.0
0.511,0.0698,0.15,117.0
0.519,0.0698,0.15,117.0
0.528,0.0698,0.15,117.0
0.537,0.0698,0.15,117.0
0.546,0.0698,0.15,117.0
0.555,0.0698,0.15,117.0
0.563,0.1016,0.15,117.0
0.572,0.1016,0.15,117.0
0.581,0.1016,0.15,89.0
0.59,0.1016,0.15,72.0
0.598,0.1016,0.15,61.0
0.607,0.1016,0.15,80.0
0.616,0.1016,0.15,91.0
0.624,0.1016,0.15,98.0
0.633,0.1016,0.15,102.0
0.643,0.1016,0.15,104.0
0.651,0.1016,0.15,106.0
0.66,0.1016,0.15,107.0
0.668,0.1016,0.15,107.0
